annotation,comment_id,worker,country,all toxic,not toxic
0,5167187,868,USA,False,False
1,5167187,1316,USA,False,False
2,5167187,1295,USA,False,True
3,5167187,2856,USA,False,False
4,5521110,418,VEN,True,True
5,5521110,2076,USA,False,False
6,5521110,459,VEN,False,False
7,5521110,3109,VEN,False,False
8,5124938,2347,VEN,False,False
9,5124938,2701,USA,False,False
10,5124938,2408,USA,False,False
11,5124938,2629,USA,False,False
12,5683635,3387,USA,False,False
13,5683635,1509,VEN,False,False
14,5683635,737,USA,False,False
15,5683635,2490,VEN,False,False
16,5139269,2030,VEN,True,True
17,5139269,451,USA,False,False
18,5139269,2930,USA,False,False
19,5139269,2257,USA,False,False
20,5139269,631,USA,False,False
21,6200923,1048,USA,False,False
22,6200923,2879,VEN,True,True
23,6200923,252,USA,False,False
24,6200923,1345,USA,False,False
25,830155,3406,VEN,False,False
26,830155,2906,VEN,False,False
27,830155,414,VEN,False,False
28,830155,1410,VEN,False,False
29,830155,1135,USA,False,False
30,5400942,1316,USA,False,False
31,5400942,2368,USA,False,False
32,5400942,3403,VEN,False,False
33,5400942,2640,USA,False,False
34,6242943,415,USA,False,False
35,6242943,1135,USA,False,False
36,6242943,881,VEN,False,False
37,6242943,498,TUR,False,False
38,6242943,533,EGY,True,False
39,872291,984,EGY,False,False
40,872291,2633,USA,False,False
41,872291,2428,USA,False,False
42,872291,542,USA,False,False
43,5276309,2254,EGY,False,False
44,5276309,3549,USA,False,False
45,5276309,2811,USA,False,False
46,5276309,1380,USA,False,False
47,5480714,3438,USA,True,True
48,5480714,3226,USA,False,False
49,5480714,927,USA,False,False
50,5480714,3568,USA,False,False
51,6091980,3406,VEN,False,False
52,6091980,2906,VEN,False,False
53,6091980,414,VEN,True,True
54,6091980,1410,VEN,False,False
55,6091980,3203,USA,False,False
56,6101659,1967,USA,False,False
57,6101659,3438,USA,False,False
58,6101659,3226,USA,False,False
59,6101659,2588,UKR,False,False
60,5690822,1765,VEN,False,False
61,5690822,2428,USA,False,False
62,5690822,609,SRB,False,True
63,6219226,2552,VEN,False,False
64,6219226,2197,USA,True,False
65,6219226,2614,VEN,False,False
66,6219226,2257,USA,False,False
67,6219226,631,USA,False,False
68,6136966,2640,USA,False,False
69,6136966,1135,USA,False,False
70,6136966,881,VEN,True,False
71,6136966,498,TUR,False,False
72,659098,1048,USA,False,False
73,659098,2879,VEN,False,False
74,659098,252,USA,False,False
75,659098,1345,USA,False,False
76,659098,25,RUS,False,False
77,754003,118,USA,False,False
78,754003,757,USA,False,False
79,754003,3238,USA,False,False
80,754003,1799,USA,False,False
81,754003,1593,VEN,False,False
82,5780113,899,USA,False,False
83,5780113,827,COL,False,False
84,5780113,2588,UKR,False,False
85,5780113,3245,EGY,False,False
86,516929,3387,USA,False,False
87,516929,1509,VEN,False,False
88,516929,1409,USA,False,True
89,516929,737,USA,True,True
90,516929,3317,VEN,False,False
91,5703877,1048,USA,False,False
92,5703877,2879,VEN,True,True
93,5703877,252,USA,False,False
94,5703877,1345,USA,False,False
95,680342,2030,VEN,True,True
96,680342,418,VEN,True,True
97,680342,451,USA,False,False
98,680342,2930,USA,False,False
99,680342,631,USA,False,False
100,980738,1765,VEN,False,False
101,980738,2428,USA,False,False
102,980738,2856,USA,False,False
103,5997269,868,USA,False,False
104,5997269,1765,VEN,False,True
105,5997269,1295,USA,True,True
106,5997269,2856,USA,True,True
107,6331493,899,USA,False,True
108,6331493,2742,USA,False,False
109,6331493,827,COL,False,False
110,6331493,748,VEN,False,False
111,6331493,1380,USA,True,True
112,772530,3406,VEN,False,False
113,772530,2906,VEN,False,False
114,772530,414,VEN,False,False
115,772530,1410,VEN,False,False
116,772530,1135,USA,False,False
117,926554,272,VEN,False,False
118,926554,984,EGY,False,False
119,926554,1509,VEN,False,False
120,926554,2633,USA,False,False
121,926554,1409,USA,False,True
122,6290075,1765,VEN,False,False
123,6290075,1295,USA,True,True
124,6290075,2640,USA,False,False
125,5891015,899,USA,False,False
126,5891015,827,COL,False,False
127,5891015,3549,USA,False,False
128,5891015,748,VEN,False,False
129,5891015,2408,USA,True,True
130,5545103,757,USA,False,False
131,5545103,924,PER,False,False
132,5545103,1593,VEN,False,False
133,5545103,3568,USA,False,True
134,5912940,3387,USA,True,True
135,5912940,272,VEN,True,True
136,5912940,1509,VEN,False,False
137,5912940,1409,USA,False,True
138,6084931,118,USA,False,False
139,6084931,3238,USA,False,False
140,6084931,1593,VEN,False,False
141,6084931,517,USA,False,False
142,6084931,1032,VEN,False,False
143,585703,3438,USA,True,True
144,585703,3226,USA,False,False
145,585703,927,USA,False,False
146,585703,3568,USA,False,False
147,526144,1967,USA,False,False
148,526144,3037,VEN,False,False
149,526144,2212,USA,False,False
150,526144,2732,USA,False,False
151,1008195,971,EGY,False,False
152,1008195,169,VEN,False,False
153,1008195,2844,USA,True,True
154,1008195,3397,USA,False,False
155,851293,1967,USA,False,False
156,851293,3226,USA,False,False
157,851293,2212,USA,False,False
158,851293,2705,VEN,False,False
159,1059247,118,USA,False,False
160,1059247,2347,VEN,True,True
161,1059247,517,USA,False,False
162,1059247,1032,VEN,False,False
163,1059247,2701,USA,False,False
164,5408002,524,VEN,False,False
165,5408002,1921,VEN,False,False
166,5408002,415,USA,False,False
167,5408002,2710,USA,False,False
168,5408002,1273,VEN,True,False
169,572284,3387,USA,False,False
170,572284,1509,VEN,False,False
171,572284,1298,VEN,False,False
172,572284,3151,ROU,False,False
173,572284,609,SRB,False,False
174,558786,1316,USA,False,False
175,558786,2368,USA,False,False
