comment_id,comment_text
239607,Yet call out all Muslims for the acts of a few will get you pilloried.   So why is it okay to smear an entire religion over these few idiots?  Or is this because it's okay to bash Christian sects?
239612,This bitch is nuts. Who would read a book by a woman.
240311,You're an idiot.
240400,"Nincompoop, that's a nice one! I'm partial to silly goose."
240461,"testing purposes: 

you are an idiot and i can't stand ignorant donutholes."
240615,"Well shit, they drafted a guide.  We should all be good now, whew aht a relief..."
240941,I honestly cannot decide if these guys are complete morons or the most patriotic hero's this country has seen in a long time.
241026,"Dear world:
Just a reminder that none of these folks actually live in Oregon.  Please remember that when you decide to paint our state as a bunch of wackos! 

Sincerely,
Oregon"
242705,"These parents are a bunch of pussy ass crybabies. As a Lincoln student I personally know that approxametilie 80% of he school is white. Pat Adelman had every right to get mad at the players for being racist themselves.  The parents are to blame, as they need to pull the stick out of their ass"
244362,It would take a lot of practice and muscles control to vote with your vagina.
244869,"DARPA, the subdivision of the Defense Department in charge of devising Really Scary Shit That's Never Been Seen on Earth Before ... aka the inventors of the internet."
245437,I wonder how much money taxpayers money PPS is going to waste on crap like this and then come crying to taxpayers how short of money they are and threaten to lay off half the teachers in the district if they don't get another massive tax increase passed?It's none of PPS damn business what PPS patents say or do on Facebook.
245823,Anyone who allows Obama to nominate him/her is throwing away a chance to ever be nominated for the position in the future.  Anyone that stupid doesn't deserve the job.
246768,Two Wild & Crazy Guys!
247001,I was talking about the comments here---I wouldn't be so crazy to expect our puppet legislators to be so reasonable....they are bought and paid for!
247545,"Yeah, too bad ... Oregon Live has 100 times the comments, including the ridiculous and offensive to the sublime. This is a classic Eugene over-sensitive reaction. The software is crap (is that civil, coming from a professional software engineer?).

-- Paul"
247546,Fuck this guy flag his post
247860,"Cassie, you'd better hope that the idiot who picks up hitch hiking 11 and 14 year-old girls is me and not Gareth Hall. Maybe the girls lied to whomever picked them up."
247909,"Hey, thanks for being a condescending garbage person! I bet you derived a lot of satisfaction out of typing that and no doubt smiled upon completion, marveling at your own ability to yet again be a jerk to complete strangers on the internet. Given your poor decision-making here  and the arrogance it must've taken to think writing this comment was a good idea, I highly doubt you're qualified to welcome anyone to the real world."
248099,Why was my comment to guestsquared removed? Because I called them a garbage person? They WERE being garbage people!
248172,"Tongue firmly in cheek.  How did he manage to pass the background check to acquire his handgun??  Surely several more gun laws would have prevented this shooting.

Seriously though, this is the kind of criminal the murdered Sgt. Gooding in Seaside.  The liberals in Salem can try to goody two shoes these animals all they want.  Shorter sentences and probation are not the answer.  This idiot will end up killing someone if he doesn't get killed by the cops first."
248259,"Yahoo!!!  Finally someone calling this old fool to account.  I have had the distinct displeasure of having this man as my senator for more years than I care to count, and I hope Matt succeeds.  Courtney is totally out of touch with those in his district, and continues to pursue his braindead liberal policies as he is reelected time and again by the same braindead constituents.  He has been in the senate far too long and is long overdue to move on.  Send me a petition, Matt!  I'll sign it, gladly."
248294,"So, Ms. Ricci, you weren't ""embarrassed"" by W's two ridiculous and costly wars, Katrina, his melting down of the economy?
Okay, we welcome you to the saner side of politics, better late..."
248961,"Wow. You prove the point made in the letter.  Just how many wars would you like to start at once?  Like The Donald, anyone who does not agree with you must be naive or stupid.  You believe other countries don't notice our attitude about education and take advantage of it? Good luck with that."
249122,You support Trump...an avowed racist. Why?
249132,"I used to love bike riding but now there are so many social parasites, bums, passed out in the bike path with tons of garbage piled high, it's not worth it."
249636,"Aside of a few morons I don't see many sane people using Uber. 
A nice marketing gimmick but that's about it."
249709,This guy is incredibly dumb. He's going to be eaten alive in Los Angeles.
249876,"You're kind of a dick, aren't you?"
250539,You are ignorant. Pure and simple.
250811,"You sir, are an idiot."
251017,"Don't be ridiculous.  This is about Brown.  But the jury could have found that Phil Hutchinson intended to inflict harm on Brown, and barely punished him for that -- $2200.  (Brown was asking for a total of $60k).  All of which is to say, again, that Brown -- who raped women, who abused women -- needs to be called out in spades, which has happened."
251137,"So Fucking true !! ""Portlandia"" killed my sweet find of a small big town!! I moved here in 1990, from Smog Town USA (Los Angeles)!! And for over twenty years I thought I'd died and gone to Heaven!! And that nothing could make me want to leave Portland!! But the influx of RICH ASSHOLES IS MAKING ME NAUSEOUS, even more so than Bullseye Glass!!"
251984,Throw his lousy ass in jail !
252048,"What a waste of time... this project hardly deserves this kind of coverage. 22 pictures and a lengthy article about --- wait for it ---- a remodeled golf green. Mr. Bellamy, you sir have way too much time on your hands.

PATHETIC"
252193,"And you read it all, making you exponentially MORE pathetic."
252532,"liberal dementia, a social disease that knows no shame, often claims Reagan broke the unions...because he enforced federal law on 1 union in criminal violation of federal law. It is impossible to have an intelligent intellectually honest discussion with these morons as they are as shameless liars as it gets."
252537,I have been saying this since that stupid fucking show came out. Fuck you Portlandia.
252767,"looking at it...trying to understand how this profound idiot is dominating this election...bottom line...it's because he pisses off the PC left, close enough."
252877,"Yes what a jerk 
I imagine that there is a long line of lawyers hoping to cash in on this piece of trash
Lawyers will do anything for a buck"
252949,"a person can only take so much, and when irresponsible neighbors let their damn cats run lose destroying your property, it's time to kill the cat before you kill the puke for a neighbor/"
253023,"vagrant criminals, social parasites leeching off welfare, and liberals."
253192,"The Donald's boasts claiming himself capable of being America's only choice for our Commander in Chief and seemingly convincing many of my fellow citizens of that claim, reminds me of the phrase coined  by a critic of another  business man who took great satisfaction in duping his clients , ""There's a sucker born every minute."""
253220,Die yuppie scum.
253280,"What happened to the Willy Week? This revue is terrible.  Also, associating the British empire with evilness is fucking stupid of you. The British freed their slaves first and the Magna Carta was groundbreaking. 

Your revue smells like a lingering wet fart."
253315,"The 'educational' moral of this story remains.  

Failure to work and play well with your neighbors can result in bad things happening to you.   Whether it  was based on arrogance, ignorance, a belief that the laws didn't apply to them, or anything else, ignoring unhappy neighbors is a poor strategy."
253349,"I'm quite sure I've already read this article a few years ago, same statements, same comments, looks like this guy loves to be seen as an idiot, just to gain some click on his ridiculous articles. Good luck loser"
253551,Sounds like some of you are scared of pussy and its obvious who that is!😁
