annotation,type,start,end
0,Insult,133,139
1,Insult,84,92
1,Insult,118,124
1,Insult,126,131
1,Insult,133,147
2,Identity based Attack,118,131
2,Insult,133,147
3,Insult,84,92
5,Identity based Attack,38,49
5,Insult,10,14
6,Identity based Attack,38,49
7,Insult,10,14
7,Identity based Attack,38,49
8,Insult,30,36
9,Insult,30,36
10,Insult,30,36
10,Insult,229,239
11,Insult,30,36
11,Insult,229,239
12,Insult,81,87
13,Insult,71,87
13,Insult,1,51
14,Insult,81,87
14,Identity based Attack,7,17
15,Insult,81,87
17,Profane/Obscene,19,40
18,Identity based Attack,31,52
19,Profane/Obscene,31,40
19,Threat,170,179
19,Insult,257,268
20,Identity based Attack,370,380
20,Insult,31,59
20,Insult,170,179
21,Insult,37,54
23,Insult,37,44
23,Profane/Obscene,671,693
24,Insult,37,44
24,Insult,847,852
25,Insult,0,28
25,Identity based Attack,42,63
26,Insult,0,6
26,Insult,15,21
26,Other Toxicity,58,63
27,Insult,0,6
27,Insult,58,63
28,Insult,15,21
28,Insult,0,6
28,Identity based Attack,50,63
29,Insult,0,6
29,Insult,15,21
30,Insult,165,169
30,Insult,174,179
31,Insult,165,179
32,Profane/Obscene,152,190
33,Insult,165,169
33,Other Toxicity,174,179
34,Insult,483,491
35,Insult,471,478
35,Insult,483,498
36,Insult,463,498
37,Insult,463,498
37,Profane/Obscene,448,460
38,Insult,483,491
39,Insult,10,19
40,Insult,31,35
41,Insult,31,35
42,Insult,26,35
42,Identity based Attack,0,19
43,Insult,57,64
43,Insult,162,167
44,Insult,400,421
45,Identity based Attack,510,528
46,Identity based Attack,523,528
48,Identity based Attack,34,49
49,Insult,60,67
50,Insult,60,67
51,Identity based Attack,57,85
51,Insult,87,95
52,Insult,57,64
52,Insult,87,100
54,Insult,57,64
54,Insult,87,91
55,Profane/Obscene,87,91
55,Identity based Attack,57,64
56,Insult,41,47
57,Insult,41,47
58,Insult,41,47
59,Profane/Obscene,41,47
60,Insult,632,670
61,Insult,663,670
62,Profane/Obscene,135,157
62,Profane/Obscene,271,283
62,Insult,483,500
62,Threat,652,670
63,Insult,9,15
63,Other Toxicity,47,57
64,Insult,9,15
64,Identity based Attack,92,95
65,Insult,9,15
66,Insult,0,15
66,Identity based Attack,41,87
67,Insult,0,15
68,Insult,94,99
68,Insult,115,120
68,Insult,224,229
69,Insult,115,120
69,Insult,217,229
70,Insult,115,120
71,Profane/Obscene,217,229
71,Insult,217,229
72,Identity based Attack,0,22
73,Identity based Attack,0,15
74,Identity based Attack,8,15
75,Identity based Attack,0,15
76,Other Toxicity,0,15
77,Insult,53,66
78,Profane/Obscene,53,59
78,Insult,60,66
79,Profane/Obscene,53,59
79,Insult,60,66
80,Profane/Obscene,53,59
80,Insult,60,66
81,Insult,53,66
82,Insult,129,135
83,Insult,129,135
84,Profane/Obscene,129,135
85,Other Toxicity,129,135
86,Insult,98,104
86,Insult,483,491
87,Insult,82,115
87,Insult,483,491
88,Insult,98,108
90,Profane/Obscene,98,104
90,Profane/Obscene,483,491
90,Insult,0,79
91,Other Toxicity,209,227
93,Insult,209,215
94,Identity based Attack,204,222
97,Insult,16,28
97,Insult,31,39
98,Insult,22,39
99,Insult,14,28
99,Insult,31,39
100,Insult,28,44
101,Threat,35,44
102,Insult,35,44
103,Profane/Obscene,413,423
104,Other Toxicity,187,229
107,Insult,33,39
107,Insult,176,185
107,Insult,187,199
107,Insult,204,213
108,Insult,107,116
109,Other Toxicity,176,213
110,Identity based Attack,87,213
112,Insult,21,48
113,Insult,21,26
113,Insult,28,33
113,Insult,35,41
113,Insult,43,48
114,Insult,21,26
114,Insult,28,33
114,Insult,35,41
114,Insult,43,48
115,Insult,21,48
116,Insult,21,26
116,Insult,28,33
116,Insult,35,41
116,Insult,43,48
117,Insult,189,207
118,Insult,188,207
119,Insult,167,207
120,Profane/Obscene,201,207
120,Insult,188,200
121,Profane/Obscene,201,207
122,Other Toxicity,135,160
124,Insult,62,67
125,Insult,43,63
125,Insult,114,130
126,Insult,55,63
127,Insult,55,63
128,Identity based Attack,114,130
130,Insult,12,16
131,Insult,12,16
132,Insult,12,16
133,Insult,12,16
136,Insult,53,92
137,Insult,60,64
137,Insult,141,145
138,Other Toxicity,27,38
139,Insult,32,38
140,Insult,32,38
141,Insult,32,38
142,Profane/Obscene,27,38
144,Insult,37,42
144,Insult,158,162
145,Insult,37,42
145,Insult,158,162
145,Insult,204,209
146,Insult,125,138
146,Insult,158,162
146,Insult,204,209
147,Insult,26,33
148,Insult,49,57
149,Identity based Attack,19,47
150,Profane/Obscene,19,33
150,Insult,49,57
151,Insult,94,98
152,Insult,94,98
154,Insult,89,105
155,Insult,17,31
156,Insult,17,25
157,Insult,17,25
158,Insult,17,31
159,Other Toxicity,195,200
161,Insult,195,200
161,Identity based Attack,114,120
161,Identity based Attack,122,125
162,Identity based Attack,114,120
162,Identity based Attack,122,125
163,Insult,195,200
164,Insult,81,97
165,Identity based Attack,93,97
166,Insult,93,97
167,Threat,85,97
168,Profane/Obscene,93,97
169,Identity based Attack,0,11
170,Insult,0,11
171,Other Toxicity,0,11
172,Insult,6,11
173,Identity based Attack,6,11
174,Insult,8,30
175,Insult,8,14
176,Insult,8,14
177,Insult,8,14
178,Insult,30,52
179,Identity based Attack,30,37
180,Identity based Attack,30,51
181,Profane/Obscene,30,37
182,Insult,37,41
183,Insult,37,41
184,Insult,37,41
185,Insult,0,10
185,Insult,47,55
186,Insult,4,10
186,Profane/Obscene,47,55
187,Insult,4,10
187,Insult,47,55
188,Insult,4,10
188,Insult,47,55
189,Insult,4,10
190,Insult,108,112
191,Identity based Attack,130,135
191,Threat,148,154
192,Insult,108,112
193,Insult,108,112
194,Insult,108,112
194,Threat,148,154
195,Insult,146,188
196,Insult,160,166
197,Insult,160,166
198,Insult,160,166
199,Insult,160,166
200,Insult,0,9
201,Insult,0,9
202,Insult,0,9
203,Insult,0,9
206,Profane/Obscene,49,65
207,Insult,49,65
208,Insult,58,65
209,Insult,14,32
210,Insult,14,20
210,Insult,21,32
211,Insult,14,32
212,Insult,14,32
213,Insult,14,20
213,Insult,21,32
214,Insult,37,45
214,Insult,166,178
214,Insult,193,201
214,Insult,269,282
214,Insult,287,294
214,Insult,403,408
215,Insult,37,52
215,Insult,166,178
217,Insult,421,429
220,Other Toxicity,55,68
225,Profane/Obscene,114,120
227,Other Toxicity,83,104
228,Threat,21,78
232,Profane/Obscene,68,72
233,Insult,7,12
234,Insult,7,12
236,Insult,7,12
236,Identity based Attack,7,12
237,Profane/Obscene,39,45
238,Insult,39,45
239,Insult,39,45
240,Insult,39,45
241,Identity based Attack,29,45
242,Insult,39,48
243,Insult,39,48
243,Identity based Attack,22,30
244,Insult,39,48
245,Insult,39,48
246,Insult,39,48
247,Insult,129,138
248,Insult,129,138
249,Insult,129,138
250,Insult,184,190
251,Other Toxicity,171,190
251,Insult,214,254
252,Insult,171,190
253,Insult,171,177
253,Insult,184,190
253,Identity based Attack,214,225
254,Profane/Obscene,110,114
256,Insult,105,114
258,Insult,11,32
259,Insult,11,19
259,Insult,24,32
260,Identity based Attack,0,32
261,Other Toxicity,11,19
261,Other Toxicity,24,32
262,Insult,42,47
263,Insult,42,47
264,Insult,31,47
265,Insult,146,162
265,Profane/Obscene,286,315
266,Profane/Obscene,158,167
267,Identity based Attack,25,36
267,Identity based Attack,87,95
267,Identity based Attack,116,123
268,Insult,286,315
268,Insult,318,359
268,Profane/Obscene,158,167
269,Insult,36,40
269,Profane/Obscene,45,49
269,Other Toxicity,88,92
269,Insult,149,166
270,Insult,178,184
271,Insult,29,35
271,Profane/Obscene,88,92
271,Insult,171,184
272,Insult,201,211
273,Other Toxicity,201,211
274,Insult,201,211
275,Insult,201,211
275,Insult,228,231
276,Insult,0,8
277,Insult,0,8
278,Insult,0,8
279,Insult,0,8
280,Insult,4,9
